district,city_name,central_name,type,dist_km,address,phone,match_type,city_area_type,central_discount
中西區,劍橋大飯店股份有限公司,劍橋大飯店,hotel,,臺南市中西區民族路2段271號,062219966,核心名稱一致 (劍橋大飯店),basic,「劍橋帶路  美食名店呷乎飽」專案」即贈阿蓮牛肉湯，民族鍋燒意麵，落成米糕套餐或時尚小保温瓶四選一。平日：豪華單床房$2199(一大床)   假日：$3199(阿蓮牛肉湯，民族鍋燒意麵，落成米糕套餐或時尚小保温瓶四選一)*2平日：豪華雙床房$2299(二小床)   假日：$3299(阿蓮牛肉湯，民族鍋燒意麵，落成米糕套餐或時尚小保温瓶四選一)*2平日：豪華三人房$3299(一大一小床)   假日：$4299(阿蓮牛肉湯，民族鍋燒意麵，落成米糕套餐或時尚小保温瓶四選一)*3平日：豪華四人房$3799(二大床)   假日：$4799(阿蓮牛肉湯，民族鍋燒意麵，落成米糕套餐或時尚小保温瓶四選一)*4
中西區,榮興金鬱金香酒店,榮興金鬱金香酒店,hotel,,臺南市中西區民族路二段128號,06-2208366,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
中西區,臺南大飯店,台南大飯店,hotel,,臺南市中西區成功路一號,062249884,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
中西區,南兜漫旅,南兜漫旅,hotel,,臺南市中西區正興街11號,06-2253388,名稱完全一致,basic,"【慢慢兜南兜】三天兩夜專案專案價：NT$2,400起/間（雙人入住）位置：台南中西區｜鄰近西市場、正興街、國華街商圈️兜遊雙人客房(一大床/兩小床) 每晚$3,000/間,享8折 折扣後每晚$2,400/間️兜迎雙人客房(一大床/兩小床) 每晚$3,800/間,享8折 折扣後每晚$3,040/間南煦四人客房(兩大床)                每晚$5,000/間,享8折 折扣後每晚$4,000/間️南閣套房(一大床)                        每晚$7,500/間,享8折 折扣後每晚$6,000/間旺日入住加價 $300/每間；假日入住加價 $1,000/每間一、專案內容1.入住房型：客房住宿2.依房型人數提供早餐+迎賓點心3.此專案限定【入住三天兩夜】或【當天入住2間相同房型】二、旺假日加價平旺假日定義依南兜漫旅年度平旺假日行事曆為主加人加價請上官網查詢"
中西區,湧福驛站,湧福驛站,guesthouse,,臺南市中西區大福街36巷5號,0956167168,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
中西區,一府,一府民宿,guesthouse,,臺南市中西區國華街二段75號,0980158826,核心名稱一致 (一府民宿),basic,優惠方案修改為~平日入住（週日~週四）當月壽星再優惠200元。
中西區,好趣旅店,好趣旅店,guesthouse,,臺南市中西區正興街198號,090968972198,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
中西區,荷方輕旅,荷方輕旅,guesthouse,,台南市中西區大同路一段46巷33弄1號,0911189070,名稱完全一致,basic,配合交通部觀光署 115 年國旅獎助方案本館重視與旅客間的信任，確保專案價格內容透明，承諾提供安心無虞的訂房體驗。凡透過本館指定管道訂房，即可享有以下專屬加碼方案： 生日紀念賀禮：持國旅生日券入住，除國旅優惠外，本館將額外致贈「荷方嚴選生日小禮」乙份，與您共度專屬時刻。 毛孩友善折抵：預訂寵物房型並攜帶毛孩同行，每房提供「寵物清潔費 100 元折抵」（敬請於訂房時提前告知，以便為您安排對應房型）。 注意事項：‧本館嚴格遵守個人資料保護法及觀光署相關核銷規範，保障您的各項權益。‧為了將最實惠的價格回饋給旅客，國旅補助僅限「國旅實施期間內」的新訂單使用喔！本加碼活動僅限定透過「官方 LINE（@easyark）」預訂。第三方訂房平台（如 Booking.com、Agoda 等）恕無法適用。‧若有包棟需求，相關住宿優惠與專案細節，敬請另行透過官方 LINE 洽詢。
中西區,福憩背包客棧,福憩背包客棧,guesthouse,,台南市中西區和平街91號,0938334543,名稱完全一致,basic,「福憩國旅補助2+2連住方案」–歡迎旅客深度遊台南，詳情請洽福憩官網www.fuqihostel.com說明
中西區,Bellus Ace,Bellus Ace,guesthouse,,台南市中西區忠孝街93巷63號,06-2211889,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
中西區,太子行旅有限公司,太子行旅,hotel,,台南市中西區友愛街349號,06-2289171,核心名稱一致 (太子行旅),basic,115年交通部觀光署-平日住宿及⽣⽇券獎助活動(預算用罄得提前公告停⽌辦理)＞＞平日住宿獎助 : 115/9/1-11/30(限週日⾄週四，不含國定假⽇及其連續假期)＞＞⽣⽇券獎助 : 115/9/10-12/31(限週日⾄週四，不含國定假⽇及其連續假期)＞＞本優惠僅限於太子大飯店電話06-2289171、LINE 訂房適用，透過各大訂房平台（OTA）訂房恕不適用。＞＞免費自助洗衣機、烘衣機
中西區,日.勻民宿,日.勻民宿,guesthouse,,台南市中西區民族路二段279之一號,0928195411,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
中西區,池野民泊,池野民泊,guesthouse,,台南市中西區中正路199巷12號,0975709203,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
中西區,郡象商旅,郡象商旅,hotel,,台南市中西區郡西路136號,06-2239268,名稱完全一致,basic,115年交通部觀光署-平日住宿及⽣⽇券獎助活動(預算用罄得提前公告停⽌辦理)>>平日住宿獎助 : 115/9/1-11/30(限週日⾄週四，不含國定假⽇及其連續假期)>>⽣⽇券獎助 : 115/9/10-12/31(限週日⾄週四，不含國定假⽇及其連續假期)>>本優惠僅限於郡象商旅電話06-2230988、官方網站、LINE 及 FB 訂房適用，透過各大訂房平台（OTA）訂房恕不適用。>>依房型人數免費提供自助式早餐>>住宿期間提供24小時免費咖啡、飲料點心吧>>免費自助洗衣機、烘衣機
南區,雲頂國際商旅,沐雲頂國際商旅,hotel,,台南市南區大同路二段530號,06-268-7766,同路段門牌完全一致 (沐雲頂國際商旅),basic,（依觀光署規定享平日折抵資格）
南區,軟寓,軟寓,guesthouse,,臺南市南區樹林街二段420號,06-222-9255,名稱完全一致,basic,軟寓配合以下住宿優惠：・國旅平日住宿獎助 ・生日住宿券補助・Taiwan PASS 住宿抵用券・臺南市加碼「旅遊臺南・住宿點數」注意事項：① 本活動僅限透過電話、LINE@、官方粉絲團私訊預訂；透過各大訂房平台，如：Booking.com、Agoda 及其他訂房平台成立之訂單恕不適用。② 活動適用資格、使用方式皆須符合政府活動資格，並依主辦單位最新公告與現場系統審核結果為準。③ 軟寓集點宿及其他優惠方案不得合併使用。官網連結：https://www.instagram.com/nng__inn/
南區,夏都城旅安平館,夏都城旅安平館,hotel,,臺南市南區新建路47號,06-292-4567,名稱完全一致,basic,*夏都城旅優惠內容比照原獎助活動方式辦理。*平日住宿獎助、生日券和Taiwan PASS住宿抵用券優惠適用官網和電話訂房。*官網各住宿專案內容及規範，請參考:https://www.tnchateau.com.tw/news/lodging/*各住宿專案旺日、假日和大假日入住需額外收費，2026年平假日定義請參考: https://www.tnchateau.com.tw/news-detail/1032/*其他未盡事宜請依夏都城旅官網公告為主。
南區,H VILLA INN 清水漾,H VILLA INN 清水漾,hotel,,臺南市南區萬年二街61號,062965888,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
南區,國妃鷹堡汽車旅館健康館,國妃鷹堡汽車旅館,hotel,,臺南市南區健康路二段500號,062635588,核心名稱一致 (國妃鷹堡汽車旅館),basic,平日入住雅典雙人房只要1880伯爵雙人房只要2280凱撒王雙人房只要2580King房型2980淋浴四人房2680雙人房間間車庫房；四人房附館內停車位均附早餐。
南區,無生居,無生居,guesthouse,,臺南市南區國華街一段110號,0977182525,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
安平區,澤居,澤居,guesthouse,,台南市安平區世平路168號,0908331857,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
安平區,荷蘭邨汽車旅館有限公司,荷蘭村汽車旅館,hotel,,臺南市安平區建平一街239號,062956123,同路段門牌完全一致 (荷蘭村汽車旅館),basic,（依觀光署規定享平日折抵資格）
安平區,臺窩灣民居,臺窩灣民居,guesthouse,,臺南市安平區國勝路25號,0986231257,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
安平區,玩聚安平,玩聚安平,guesthouse,,臺南市安平區安平路606巷17弄13號,0976677859,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
安平區,臺南安平AP7民宿,台南安平AP7民宿,guesthouse,,臺南市安平區州平二街2-3號,0956167168,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
安平區,臺南安平囍宿,台南安平囍宿,guesthouse,,臺南市安平區州平二街8號,0956167168,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
安平區,躲貓貓民宿,躲貓貓民宿,guesthouse,,臺南市安平區安平路606巷35弄33號,0967081441,名稱完全一致,basic,一間四人房即可包棟享受獨自空間不被打擾
安平區,住安平,住安平,guesthouse,,臺南市安平區安平路75巷18弄6號,0929239599,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
安平區,衡定理台南安平包棟民宿・畃雨,衡定理台南安平包棟民宿．畃雨,guesthouse,,臺南市安平區世平路180號,0908331857,同路段門牌完全一致 (衡定理台南安平包棟民宿．畃雨),basic,（依觀光署規定享平日折抵資格）
安平區,理蓄宅,理蓄宅,guesthouse,,臺南市安平區州平二街2-5號,0908331857,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
安平區,燈塔民宿,燈塔民宿,guesthouse,,臺南市安平區州平二街1巷26號,0908331857,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
安平區,威尼斯民宿,威尼斯民宿,guesthouse,,臺南市安平區世平五街69號,0908331857,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
安平區,允頌汽車旅館,允頌汽車旅館,hotel,,台南市建平17街1號,06-2987756,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
安平區,胖蝸牛親子民宿,胖蝸牛親子民宿,guesthouse,,台南市安平區州平二街15號,0921450212,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
安平區,胖卡親子民宿,胖卡親子民宿,guesthouse,,台南市安平區州平二街13號,0921450212,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
安平區,大餅的家民宿,大餅的家,guesthouse,,台南市安平區安北路196巷11弄2號,0933512305,核心名稱一致 (大餅的家),basic,（依觀光署規定享平日折抵資格）
安平區,安平作夥憩海邊,安平作夥憩海邊,guesthouse,,台南市安平區州平二街38巷22號,0937017956,名稱完全一致,basic,環保續住優惠方案：續住不更換毛巾、浴巾、床單、被單、枕頭套，享有第二晚起之房價9折優惠
